crim crie	參差/㠁嵯
vit xiiux	一手
vit pprei	一排
vit biiann	一方
vit ppann	一旁
vit ccuk	一族
vit danh	一旦
vit zaux	一早
vit xxii	一時
vit hhuannx	一晃
vit hhuaih	一會
vit nnuuot	一月
vit cih	一次
vit kiiih	一氣
vit liiu	一流
vit sriann	一生
vit grap	一甲
vit ttiik	一直
vit nnrenx	一眼
vit dox	一睹
vit xynh	一瞬
vit kunn	一空
vit dwnnx	一等
vit grip	一級
vit tonnh	一統
vit y	一維
vit sienh	一線
vit xiann	一聲
vit kronn	一腔
vit dih	一致
vit giiwx	一舉
vit hhauh	一號
vit lamx	一覽
vit nniion	一言
vit xyet	一說
vit kiix	一起
vit loh	一路
vit xin	一身
vit lyn	一輪
vit lien	一連
vit benh	一遍
vit ttaux	一道
vit ben	一邊
vit ttinh	一陣
vit mienh	一面
vit ttwu	一頭
vit lyh	一類
vit teix	一體
vit demx	一點
vit dannx	一黨
vit ccei	一齊
denn mraux	丁卯
denn iiux	丁酉
denn hiiann	丁香
cit xxip	七十
cit hiix	七喜
cit dox	七堵
cit ssiak	七夕
cit kunnx	七孔
cit cwix	七彩
cit lyt	七律
cit cciann	七情
cit senn	七星
cit ieuh	七曜
cit nnuuot	七月
cit keuh	七竅
cit mrix	七美
cit xiann	七聲
cit gox	七股
cit prak	七魄
ttiiannx gnin	丈人
ttiiannx biio	丈夫
ttiiannx mwux	丈母
sam nnox	三五
sam ttwih	三代
sam guann	三光
sam liiannx	三兩
sam xxip	三十
sam guwk	三國
sam hhrep	三峽
sam hhen	三弦
sam grauh	三教
sam qyn	三春
sam grann	三更
sam cih	三次
sam liiu	三流
sam grip	三級
sam grok	三角
sam guun	三軍
sam tet	三鐵
sam hhronnx	三項
sam sien	三鮮
xxiiannh ttwih	上代
xxiiannx ryh	上位
xxiiannx lwi	上來
xxiiannh gah	上個
xxiiannx ccen	上前
xxiiannh banh	上半
xxiiannx kiiwh	上去
xxiiannh gox	上古
xxiiannh sii	上司
xxiiannh jiiu	上周
xxiiannh hhuwi	上回
xxiiannx pa	上坡
xxiiannx ttiiann	上場
xxiiannx ppiin	上墳
xxiiannh haux	上好
xxiiannx hhrok	上學
xxiiannh gra	上家
xxiiannh ziiannh	上將
xxiiannh ccwnn	上層
xxiiannx sren	上山
xxiiannx nnanh	上岸
xxiiannx xxiix	上市
xxiiannh nen	上年
xxiiannx ccriiann	上床
xxiiannh ccuah	上座
xxiiannh ppiiann	上房
xxiiannh miin	上文
xxiiannh nnuuot	上月
xxiiannx lwu	上樓
xxiiannh cih	上次
xxiiannh liiu	上流
xxiiannh iiu	上游
xxiiannx bran	上班
xxiiannh greih	上界
xxiiannh pprie	上皮
xxiiannh griemx	上瞼
xxiiannh kunn	上空
xxiiannh tteih	上第
xxiiannh dwnnx	上等
xxiiannh grip	上級
xxiiannx sienh	上線
xxiiannx qqyen	上船
xxiiannh sriik	上色
xxiiannh viii	上衣
xxiiannh sram	上衫
xxiiannh zriiann	上裝
xxiiannx kuah	上課
xxiiannx loh	上路
xxiiannh xin	上身
xxiiannh bwih	上輩
xxiiannh ben	上邊
xxiiannx gwu	上鉤
xxiiannx mwn	上門
xxiiannx ttinh	上陣
xxiiannh mienh	上面
xxiiannh ttwu	上頭
xxiiannx ttwu	上頭
xxiiannx mrax	上馬
hhrah banh	下半
hhrax ttunn	下同
hhrax hhuwi	下回
hhrax gra	下家
hhrax ccwnn	下層
hhrax xxiiok	下屬
hhrax bra	下巴
hhrax biiann	下方
hhrax ssyn	下旬
hhrax ccienh	下賤
hhrax xin	下身
hhrax ben	下邊
hhrax mienh	下面
hhrax teix	下體
gaih bann	丐幫
tiiux xxii	丑時
tiiux nniiu	丑牛
tiiux grok	丑角
